"account_id","amount"
"ece4acb67ebf059109811c1548d93eb1567053dd28956d34eb1b950ddde5266d","9325197609914730263531772055"
"32015d51d67a2a3d791d325f23d364e308fd1f19d49d885d42b8bf2d594dda5c","23333298000017900000000000000000"
"87b0fb845f23d50852b0bb86dc9a7587eeb60b52986e8e11c2785ce2267728a7","10000000000000000000000"
"a6b1b053cdfad4b2c417c348baf071007b453d9f943aafa3b1e7717dc7e60800","1000000000000000000000"
"kyuubi.near","10000000000000000000000"
"nearprotocolvietnam.near","540000000000000000000000"
"447315d2101bf83948cf7cd5177ebf2b34f0a6ee1197129fc7a25607417c0671","0"
"1db990e022ebaca4dd48559442a5a91d73535ed06f4517bc0e84683d494a447a","20000000000000000000000"
"387b47c30c1e6c7e438e5e02bcd50c89ce6a07a0d77092a3c686d0e1660aee56","10000000000000000000000"
"divlyon.near","150000000000000000000000"
"keemlyon.near","200000000000000000000000"
"4a446033e0ad7cea0c3d69a32fc66628cc6fd52920f6832fdd579582e982d5c9","100000000000000000000000"
"jdcom.near","100000000000000000000000"
"a111111115.near","100000000000000000000000"
"aa1.near","100000000000000000000000"
"ass.near","100000000000000000000000"
"yajin.near","30000000000000000000000"
"pudding.near","100000000000000000000000"
"xia.near","100000000000000000000000"
"a111111116.near","50000000000000000000000"
"a111111117.near","60000000000000000000000"
"a111111118.near","30000000000000000000000"
"a111111119.near","60000000000000000000000"
"xiaobuding.near","30000000000000000000000"
"jin222.near","80000000000000000000000"
"zgf922.near","100000000000000000000000"
"lan123.near","60000000000000000000000"
"dds222.near","50000000000000000000000"
"1eth.near","100000000000000000000000"
"sabi.near","100000000000000000000000"
"innh1.near","100000000000000000000000"
"xiaodiudiu.near","100000000000000000000000"
"dog111.near","100000000000000000000000"
"p203.near","100000000000000000000000"
"hinkj123.near","100000000000000000000000"
"wder.near","100000000000000000000000"
"451877d1d3f6f3abf80418b2941ac100f44203400b1ae1f3c63f5de207b3141d","10000000000000000000000"
"wedd.near","100000000000000000000000"
"19901009.near","100000000000000000000000"
"19831020.near","100000000000000000000000"
"jiazi.near","100000000000000000000000"
"shunging.near","100000000000000000000000"
"pzhome.near","100300000000000000000000"
"amazinga.near","100000000000000000000000"
"yujun.near","100000000000000000000000"
"gt1.near","100000000000000000000000"
"cyberpop.near","100000000000000000000000"
"sdss.near","100000000000000000000000"
"xijialk.near","100000000000000000000000"
"ningdin.near","100000000000000000000000"
"miji.near","100000000000000000000000"
"buing.near","100000000000000000000000"
"fd8cf1fac96349d917380fe66e12127b0a037848807e2f59c8ca61861c493f79","100000000000000000000000"
"okuik.near","118800000000000000000000"
"hjpk222.near","300000000000000000000000"
"wyzwang888.near","200000000000000000000000"
"84857969edecee4b11eb604e0eebaea020f9f76dd0d5f0daaf1ae8ac187de81c","100000000000000000000000"
"lgh666.near","100000000000000000000000"
"nguyenduyhoan92.near","500000000000000000000000"
"a9.near","200000000000000000000000"
"s1.near","100000000000000000000000"
"s2.near","100000000000000000000000"
"s3.near","100000000000000000000000"
"s4.near","100000000000000000000000"
"s5.near","100000000000000000000000"
"s6.near","100000000000000000000000"
"s8.near","10000000000000000000000"
"s9.near","100000000000000000000000"
"z1.near","200000000000000000000000"
"z2.near","100000000000000000000000"
"z3.near","100000000000000000000000"
"z4.near","100000000000000000000000"
"z5.near","100000000000000000000000"
"z6.near","10000000000000000000000"
"z7.near","10000000000000000000000"
"z8.near","100000000000000000000000"
"z9.near","10000000000000000000000"
"x1.near","100000000000000000000000"
"x2.near","100000000000000000000000"
"999999999.near","100000000000000000000000"
"118.near","100000000000000000000000"
"55555.near","100000000000000000000000"
"7777777.near","100000000000000000000000"
"1234567890.near","100000000000000000000000"
"987654321.near","100000000000000000000000"
"321.near","100000000000000000000000"
"456.near","100000000000000000000000"
"2222.near","100000000000000000000000"
"789.near","100000000000000000000000"
"xxoo.near","100000000000000000000000"
"mylove.near","100000000000000000000000"
"1823e9ff4be4a60ff60b05d6d0deddad74af1766cec82fb7d20a30ebbb7c2179","10000000000000000000000"
"102f3552091792be2a0251cefcc0e262a7e884f9f8a2daa81f166c79723c7574","20000000000000000000000"
"50c26a2b5c02015271b3bd0f3882dac6d1f33ed88338ce33d6316d7cd471639d","25000000000000000000000"
"lk583998442.near","98900000000000000000000"
"nearmatic.near","900000000000000000000"
"nearalgo.near","1000000000000000000000"
"nearbch.near","900000000000000000000"
"neardoges.near","900000000000000000000"
"nearluna.near","900000000000000000000"
"nearlinks.near","900000000000000000000"
"nearpoap.near","900000000000000000000"
"nearltc.near","900000000000000000000"
"nearshib.near","900000000000000000000"
"nearxrp.near","900000000000000000000"
"nearwbtc.near","900000000000000000000"
"nearusdt.near","900000000000000000000"
"nearusdc.near","900000000000000000000"
"neardots.near","900000000000000000000"
"nearsol.near","900000000000000000000"
"poapguy.near","900000000000000000000"
"nearbnb.near","900000000000000000000"
"nearavax.near","1000000000000000000000"
"097fc21286d7d0ea89724658e685931fac4c45af625db8a47ce6ca6c0a8fd89a","100000000000000000000000"
"596107be976b41d1a20823c508093c94121740750148444ccbfab2d08052b949","10000000000000000000000"
"c1f31e34c7d14b5056c13cb36ef10733b14cdf56bdf053852ff06d4b5813979e","100000000000000000000000"
"cbe5bac3f39af4c44ed26f6e0be9b6d42a2fcc1e9086faafb5753f7f5a931f41","2000000000000000000000"
"ddc44090bcc8044d27d04749002a10114a61f90db19588e52ad85e0787f32de2","12300000000000000000000"
"f9223cba450220ac21a943fc6f082ef3d78f04694b4142d80714f20fb8786bac","12000000000000000000000"
"07ffd9fbb5b9c0f6b08909b19435b414026438aa2fd3983fa2d2e035c67b2158","12000000000000000000000"
"44a1c27cb7a3ca7ee35efdedbf78ef61722a91d8ab0b2ffd6eff556fd2338cbb","200000000000000000000000"
"e8c67ee0f741d2c2185d79ac700ec3d49da9da4619128731f31f2368217e1d54","20000000000000000000000"
"lionelni.near","10000000000000000000000"
"2f91950c76edecba826d48633bbb173db921504ba197d60dce88d7546a05964b","100000000000000000000000"
"6990c8ea19a77a5204f8f7e7c5ff096e2248296dc5f915c548e9af22139de23a","300000000000000000000000"
"5a4df1aa1b1f07a53231a6cabfe66f41e39279575604e56c706d7595a087501c","100000000000000000000000"
"vicky72.near","100000000000000000000000"
"vicky73.near","100000000000000000000000"
"suixin77.near","100000000000000000000000"
"vicky74.near","100000000000000000000000"
"fengfei.near","100000000000000000000000"
"woshimaxiaohua.near","100000000000000000000000"
"vicky75.near","100000000000000000000000"
"applevip.near","100000000000000000000000"
"vicky76.near","100000000000000000000000"
"74f031ee89f4c5edd3e549891f1c9ee31d207d3d91ff10cc3a91bafbbc4e257b","0"
"b3c72984b0d3361d36f4d62ff11eaae9d8085e3c82ffb2b367b7661e9d776e87","500000000000000000000000"
"b9473f37e97d2e727f972f96874ffad20dd7b2c336433a053125ead141dba205","13000000000000000000000"
"2e1762acc8cd1b5f843d67a05e6b7698e668a6c82faee2faf752ec4d4e8344bf","100000000000000000000"
"kaiyue.near","100000000000000000000000"
"ddf2d15eaf3478cc8e4cae4cbea85e663b6d1ed627afb19acb569bc89597e014","50000000000000000000000"
"laohu7.near","100000000000000000000000"
"guoguo7.near","100000000000000000000000"
"b13c362cbb41345957728dd5248c1391c2b5859d4656eb080a62276b50754b22","400000000000000000000000"
"xinxin7.near","100000000000000000000000"
"vicky78.near","100000000000000000000000"
"feifei7.near","100000000000000000000000"
"9eb301b47521c09af70cd98e194034763ae037e0c719724a3534e2b2508ac2e8","100000000000000000000000"
"pingguo7.near","100000000000000000000000"
"b49f5dd0f97efbd77155f59236287eaabcaf421aabf52929a557804ac464533e","100000000000000000000000"
"niuniu7.near","100000000000000000000000"
"vicky79.near","100000000000000000000000"
"f4cbf227c751259bae328f105b6d771008247b98662a82abc836949ab55f5c97","0"
"eda848293cde13c3cfee144f24235386ca675655d043a0ba8da0e3eeb06f3f3f","10323000000000000000000"
"d1d793862ba5e4a9c84f0b3b3917173a2f7b4150f84ac4aa619f56f473086e1c","100000000000000000000000"
"vicky80.near","100000000000000000000000"
"caspar.near","100000000000000000000000"
"vicky81.near","100000000000000000000000"
"c9a4c39296487b1864dd8fa38bdaeae2fa91c1e914d9f35678d489a2d2b81675","100000000000000000000000"
"8f5cadee225aa1e22d12c6de6a62e66e439fc4ab3be60b01b3d5fb0b5b018fa3","100000000000000000000000"
"vicky83.near","100000000000000000000000"
"97f991252d5c1503381b9c0ec634078d979c48b66b2f7839292a18051adce6f1","600000000000000000000"
"dish1.near","90000000000000000000000"
"4b65e7222ae232a732f02cc888258fceb873f49d96b0f6b9e8acf5210dccad43","6000000000000000000000000"
"3d646b3388d8ee25a3cff5c446e31674fa1298c9ebb9455e0dd1f34f28e2b630","0"
"d4848ffe42cd344e04d2b22b72d03cd05a8933d3fb5e12bf9085df3a01345fd9","100000000000000000000000"
"9e4b01fc62f6d945302966248e70cb5616d1e97dbd4e25820f5d159e0a891ab0","2000000000000000000000000"
"6a12de382f0e161b13eceea9472df8a1c2be6302fdb354653950040f79cc4faf","55500000000000000000000"
"b1e62b7b6d8192b295a6eb0425f27234629a2f854d3d7ac049775a32d211f370","100000000000000000000000"
"ak898.near","10000000000000000000000"
"f71e519d66cc33805e187490a3ddbb788a2673de2b44aa9bada60182ae2afb16","500000000000000000000000"
"yangguobao514.near","100000000000000000000000"
"2888ae9247132a11fd9dcda90065125448ab2c037d53fe9f562f5ca1fa88e212","100000000000000000000000"
"6c8d2b1595145fdac83e3ca51d0485264628e8ac46872b015facedc5ef5e0cde","100000000000000000000000"
"sxx7.near","100000000000000000000000"
"fky7.near","100000000000000000000000"
"fxh7.near","100000000000000000000000"
"snn77.near","100000000000000000000000"
"qyz77.near","100000000000000000000000"
"qyn77.near","100000000000000000000000"
"ffeng77.near","100000000000000000000000"
"sns520.near","100000000000000000000000"
"xlh520.near","100000000000000000000000"
"youcatbing.near","10000000000000000000000"
"429f585dec3ae20f8549a745ed0857240307b13d09c049af15dd5fd4895b3047","10000000000000000000000"
"a04e3fd61dc6494d5a7aaeb33873df9592d7e65c18b5e183a998be597c85a0ec","10000000000000000000000"
"3ce8207dac5665115559017992602987e3878f7caf898b7998882972885874b0","10000000000000000000000"
"4800275f333f09ca74c992a7e8cb7262eb64fd76373f73af3c3836afdeccc853","10000000000000000000000"
"suxi520.near","100000000000000000000000"
"suixin88.near","100000000000000000000000"
"fengfei88.near","100000000000000000000000"
"0c8b26cc51fb290e1f063954f4d618470ecbeb40b821dd22d3fe2ee512fa39c5","100000000000000000000000"
"kaiyue88.near","100000000000000000000000"
"yanyi.near","100000000000000000000000"
"yunzhi.near","100000000000000000000000"
"kunb.near","100000000000000000000000"
"1c9ff100734e4661df94e918d25bc132ad569b5011fac005e3f6ffa60714253f","10000000000000000000000"
"kunc.near","100000000000000000000000"
"28acc79ca8d25b1a9e93f897c2a070eff3e3124fcb600d1a77a1336e0c4fe6a1","1000000000000000000000"
"kund.near","100000000000000000000000"
"kune1.near","100000000000000000000000"
"kunf.near","100000000000000000000000"
"kunh.near","100000000000000000000000"
"7a4d5aa027e5b23c31a5146458ba2bd6a6efb59dd48f951ebabe8aab3dac9a67","100000000000000000000000"
"kuny.near","100000000000000000000000"
"9081caa36fb32e961552f4bfbe86fa104b5fa902b5ba1bd4639d7a2eeeb3fba2","20000000000000000000000"
"kunj.near","100000000000000000000000"
"kunk.near","100000000000000000000000"
"kunl.near","100000000000000000000000"
"687fcb1170f205db8dd3f5d932eda7dc29fd21606b6c386df79c7d2a81ff77f4","100000000000000000000000"
"6c2c210aecb9edebbde96330d3d444bdd3f3c8907921726574ff781e359b13c7","10000000000000000000000"
"linwenjie.near","10000000000000000000000"
"19e0edc5c06b309fb797cfdd3322eb71eb9c864dc921568f23b9a888747418f7","100000000000000000000000"
"e3ca2c48e8bcd62848c161e925ff4973657c232919e5b2798db8c2806914cba6","180000000000000000000000"
"78aa126d830ea10620e5ae3c7d3f5fcba73feaf2f8459acb64273c8e12012f49","100000000000000000000000"
"ef6ba014dc01d5e3488b680b5d3bcb140bf8bfe20dd2f9c6becde770eddba62b","0"
"75178f748327bca3d1c7403af042ac593108c918ff24328018550fae57e06111","20000000000000000000000"
"zhangbin.near","10000000000000000000000"
"48b62c7ead3aeaeff6ed358608c824b088402ee97e9b61906463fcb28aed4e98","1000000000000000000000000"
"zmee.near","100000000000000000000000"
"ec8810c77b45d82138ebdebb8078f4cba8238dde9257d55cc3240ff6cd2c7e75","1000000000000000000000"
"e80f5046f5e783b11756b6219354018c514e558ea4cb052ea01d16b5f5ce79f2","20000000000000000000000"
"20070c0cdb34021fd4baae6d57f75e2d84c0b3ec441e0d73299013cfb3af1234","10000000000000000000000"
"4a07b1413c611de1be8fa8dad4168a1e734a141c18ebcec5d4591c2daa59b0fd","0"
"94f226fadf4bcb44df0d23236a0416c1e939e6d533d3c12516f20540886610b7","0"
"6c320032fec6cf67bad2a8bc34aa3187af34fd5233717beb009a4cb93752e4e4","10000000000000000000000"
"0b6dbe18b82a73c01a12d933785716e273ff2b93a0e36194a6a600cfe04a560a","10000000000000000000000"
"standx.near","10000000000000000000000"
"be1fb358ba7dce16405cc606ded9209755ab5ccb37a3898aeb9f1d690e584e2e","2211180000000000000000000"
"thelovejunkie.near","500000000000000000000000"
"lanhaibin.near","110000000000000000000000"
"zhaliguo.near","1000000000000000000000"
"vpilates.near","32320000000000000000000"
"lanhaibin1.near","15000000000000000000000"
"c8633c5eed4e0ba85063e79879f8c394d3add0eefae28987ce78004d7255a1b3","10000000000000000000000"
"alleoey.near","11152371575850873999999998"
"lanhaibin3.near","11200000000000000000000"
"lanhaibin4.near","8000000000000000000000"
"lanhaibin5.near","12400000000000000000000"
"lanhaibin6.near","12000000000000000000000"
"lanhaibin7.near","11200000000000000000000"
"0ee46fc6d9b030688c1642de0a0c6c9498421353d66b5e8e319409f688fad75c","100000000000000000000000"
"lanhaibin8.near","11000000000000000000000"
"lanhaibin9.near","34000000000000000000000"
"ozzmosis.near","47000000000000000000000"
"2b1dcc405833bbca7a709659f9e2623564b040cc288b45bf5dd77ddd9854435a","85570000000000000000000"
"edeh.near","60000000000000000000000"
"0e6c3ef18cf83947256700b44df504604d73fc84bae2d946248cb908e7552540","244670000000000000000000"
"dylanggo.near","10000000000000000000000"
"3f2db03ddaef497960ad2912057204aebff089a3901b900ef0b2c2d3d4437fc8","1000000000000000000000000"
"wsl520.near","60000000000000000000000"
"diliuge.near","10000000000000000000000"
"celestiallll97.near","46456070150000000000000"
"vuquyet301198vq.near","0"
"1eacf825c607804bb21f9c21294be57ee0c967d9d957be070dca8d9a7158ffef","50000000000000000000000"
"81d3e051c060dfc321d2fc02c0ad9bbbf9e00e1a312b2795573a436dafc40be9","5600000000000000000000"
"mstswap.near","100000000000000000000000"
"eee1023adc0df516a8edec20e6c3fe6f2276d1d05cebfc5f59f42188de697889","40000000000000000000000"
"816e15e039e7c214b367072bab88eb0ad4a2a08b101aa7357b33d0faae4ebfb4","100000000000000000000000"
"3f23b538c53a38e40f0ffd3f9082c0509be862837f5ebf017f64e492cbfaa086","0"
"091843a84d0c9497c8da6a1a8ed8ed576b78d0ac9d9f5cb6576ce832993a11d9","100000000000000000000000"
"c012da5456061225a945021584bf937a9ac11b540420092d4f995d01c8a5f257","100000000000000000000000"
"hjx8848.near","10000000000000000000000"
"9ca7996957a90fc758fb66c1fb71bb143632759c565d9cffb48ef2ab79edc1cc","10000000000000000000000"
"3833290eacd6341988fbbf9f23ae79fb7aea0c9d4f4390d06a5b0bd5a0ce8215","10000000000000000000000"
"cf1cd3b4b3d555848e80739285d59534c28952f9f06a76aa3a67475571599ca6","10000000000000000000000"
"a2b3267b37f1420d0be0c88f45f4d57091ed74d02bccf80df5656718144b3752","10000000000000000000000"
"e8a9d717f8f5dc93f085369d77846ceaac15caefc11cd645f303faa31238c104","10000000000000000000000"
"9547264eec658aef79b5f8d9bcf940ac8d1345a7c60a7ac878fb1268155bea83","20000000000000000000000"
"bd7c43e92989db01e6c8e98da66348967b2472d4cbd495f32ec192445233c27a","30000000000000000000000"
"hulu0x.near","300000000000000000000000"
"a82792f7e4203994f082aa9cf69395deeaece0be3ee873e6d8a8b4f2ef8a9a47","100000000000000000000000"
"a3ec34ef27a987178f994b79a4479d5bdc88500e87ef93cdfc6e23347eaeedf7","100000000000000000000000"
"lp0x.near","110000000000000000000000"
"4dac8de185d7657b9716e8940d1f1ab6624ec131ba5a187d9fef3e92621cf88c","500000000000000000000000"
"9bb15d53def1349dfe9bac3283bb90aaef922d405df2a7973a50f373073ea166","100000000000000000000000"
"2e6d74d61882d6b559c74dbf0d1f66f7799f2c00b70d024abe3f2c248016c50c","0"
"8eab29a63b6d403b90f2d7bf1354d6ef63c34e7450a40c2807e506c12ea8e3e3","20000000000000000000000"
"9a7b8669f6d03510ef5f8a0a9af9c4f5255995df352f37c3442d87fbd6d6be43","100000000000000000000000"
"d74e7b44bd698c6f0009b926c825a9391c453d68c1cbf70c859b8b503d8bf4d0","20000000000000000000000"
"35a031886b70e995c717089cd1a0e3ebde194675739a1dd6524ef61fb819012e","20000000000000000000000"
"rufneck55.near","0"
"a90c9b1985c25c58ce94d5b9b71759799a94f5a5d99294d493543d5713d43dfe","100000000000000000000000"
"87277d30ba8ba6474cb1fcf5cdf0182cd022ec848a0c0da304e9d138462c75d9","920000000000000000000000"
"ad9739d24a76aae5aa5db4b1b8735b023b60a56096d7883498a4bc81252c4ecc","100000000000000000000000"
"316474fa52895b55cfa4569cddcfcc0d1c2a3c4b3163b7fcc0034b371927c0d5","0"
"c25eb8ee7c3de4ada7a3725c756296e3776e5b1ff12398a7bdc2fba74c0515b0","100000000000000000000000"
"yugenggo.near","10000000000000000000000"
"sunsunggo.near","0"
"1bbbc84f87bc20e14195c388f836ffc7e312c4e972fdedee68cd42eb77f42801","10000000000000000000000"
"b73e28eb5944c48c987ef3dd02bf4ac776188bb8286bcfd2836ee96e5baefabd","100000000000000000000000"
"2e57caa6828175b208efaf4d362ffffb586b670b85eea5cef56ce52f793fcc40","100000000000000000000000"
"111081070705f4ca769c19148c1fbf68d29170307fc4103e7538393fee4fdcec","100000000000000000000000"
"f0955884e6735e6c334c7e2f14a2b6e10f94736a6dc13709e091795a2a85d98a","100000000000000000000000"
"f20526ce8118817b47d82e0200b10f318cb98660614426aaeab4c0d68a5be00f","50000000000000000000000"
"cf82e8423c83f1a7f7230766511007a78606c0763d23254ebff8246a8dfc21e0","50000000000000000000000"
"b628f87a63232ff62d4559c4c98084f4b81dce628096aaec499c6d99c757d29b","50000000000000000000000"
"477751d6704474eeed9eb285ea5fc32967d8126dc6750ba55f1e719c8af036a8","50000000000000000000000"
"2503cff34a59d755f80d41b63b9000ef3bdf1cd7ff7e3e55513581b3a7f2b112","50000000000000000000000"
"5a44f5008de9e252c79356688be31b0486987e57e2b10b9b124cb14e67478b41","100000000000000000000000"
"09e75fdfb482d39af6e6ef6699c4ce9194a83b662f0c37f9960ebc3bbba4db59","100000000000000000000000"
"ab6eb5493ef2d306b736ab65cc109c1e847a24cde964bf4652a95fc2e81c0040","100000000000000000000000"
"7d36010406d1d264fc1b1e8c173864923651a0b520feab324a67ac5dd89d9de2","100000000000000000000000"
"4acf0eac87d4aeb0329e4ae4cfd34f983707bbe24955c1eef68ad1f5ba4bbdb7","200000000000000000000000"
"9bbac57de5607f7a4bf33309c40fef4f9c571b2e00d4f9aa9cf77cfec54a500f","100000000000000000000000"
"f5ea753fffd52371a64042827783501f11a8c4c12892d1b8da03e77b86e158d8","100000000000000000000000"
"124547d4fef35c21096c835aa95cc767409c79da82519ad36734de693bbc41c7","100000000000000000000000"
"32fa4ecfccd29ebb166fd6b079f28b99307557bd2ad245885ce172ed06913c7b","100000000000000000000000"
"3fa97917541d4f1f40454dea54299a2908fbb2b54c27b23169ff0aee0a0befa5","60000000000000000000000"
"9a7ef3c2f33885d4eb2ba7682210b80c248a57cb2b78a9bd1abffb614dfc1475","100000000000000000000000"
"19yyy.near","10000000000000000000000"
"3012582aa20d5ad24b7d7422aa4cd629f3241c70461e0662a060b5a128cfba7d","100000000000000000000000"
"5ccd895884677802048c7c0d8da74be0f3f83f8327e4891e70e91189a49b9c56","100000000000000000000000"
"cf93cb1a121b932824b9c495f92d76966b6f17d220164b2a0aa15ab4623e2532","100000000000000000000000"
"9dfeb0634ae9c05cca72fa6da6ccba355d23d6a5ca2b2a7e13227b4e28779ba6","300000000000000000000000"
"37a890c30445abfe08df3911bd032353317c75236b297408190f5ba3fbdddcae","100000000000000000000000"
"425d995faae98aeb7d79afdc2834aa59202352e63b62c8df6f3c9e8cac17b412","100000000000000000000000"
"a410bd16e99268fcdf6e176b126c731204743637392af50211e096e507b17258","100000000000000000000000"
"4a974b911cba38c6a5917cf726a511c247c109c3d3fa8c05f367e079e93a6fd5","100000000000000000000000"
"224f2f69961301cbfd2ee907d20e763478f6f8f64f6551802113c75054b86dc4","100000000000000000000000"
"6996dbd14f66d108f111e0a8fc4b88340f5c11e3b0b78a6f8b7ee2c1646b8c4f","85700000000000000000000"
"45799d223bbae7d416564db7dcf5020b105e6f5e175b244e4b8de68d9c4f70fe","100000000000000000000000"
"a649adb19249d67e67604caef75ca7b4c8e26fbc5bf338b563d7f166bdad527c","10000000000000000000"
"c59e8a8acbfd7aa0ddf23835385b77d802006c85c796e49164d71a8eeebd0686","0"
"gioxoay.near","100000000000000000000000"
"8f54600ace44e32c0ecc0ab7d11663e92db728200a7aee778bada17935943b86","100000000000000000000000"
"279886caee9201450a7a8cdb18023418c1ef7ee51bc4cb1a29734c455fbf071c","80000000000000000000000"
"maarufafk.near","1000000000000000000000"
"kcmoney.near","0"
"0ed60a548facd17334af03a517bd4e0b976aea2dacecaeb13b7bde9e1ba0e1a7","100000000000000000000000"
"rodrigofranco.near","0"
"3b6922bb89e5cfc62295d1d7ae097675d81f975d13ac36b1f0a087f6391d5b03","140000000000000000000000"
"cuocdoi90.near","100000000000000000000"
"w82771319.near","100000000000000000000000"
"1c6b0f9047e1d9a0549f36b685ca91216bbf44b3c5fd8a257316af0ced6118e1","100000000000000000000000"
"ahmed4005.near","0"
"ilknearcuzdanim.near","47318035075000000000000"
"3a9d845e916724ea814dd23ea47c044ba760a3c3643c4abede89810595443a7f","100000000000000000000000"
"2306350bb6099884f2529ed766fd6e830565d604e4c2fe15d97074753aeac21d","10000000000000000000000"
"656bd55dd1114cbbdf37cd88596e48407d3eff5363e2926266151d512f406512","7318035075000000000000"
"hakimguz7451.near","90000000000000000000000"
"74488547524cee2cbcba0146a8f0a73c8e015471c9f33d2780c2693b5dc5e8c1","70000000000000000000000"
"010daf405ec05a32672a5e7d454953c1f812447f94e97658154ab1b21b0d3f74","0"
"fc7deb29a1b0546f8f76e24c6d1cff1197760ff29ee3c96fe4f856c5511a943a","100000000000000000000000"
"1d7d41aa280bd9f8cba6a28576eaafb139b59136cf9a23a2fecdad9e47977dfb","10000000000000000000000"
"5c57803461444136063a811e420aff9f7817986ba2391138e18554fade7e501c","10090000000000000000000"
"ef1cd4445e5ab3963ca8f4e179e9ad9e219c8b5466cbb27bfa85c3b2dd0eaf54","70000000000000000000000"
"d1dfd8342cc0f212c285702241cb543e61ffca2f5792a86371f290913e1ad1da","103300000000000000000000"
"73cf57d234d2e90f431998528deac939af6dcdad45d96fa01e609072caf014c2","0"
"intshopaidi.near","0"
